Country,IncludingNMSCNumberIncidence, IncludingNMSCRateIncidence
Afghanistan,"24,275",106.2
Albania,"8,019",160.8
Algeria,"64,713",141.2
Angola,"24,607",133.5
Argentina,"133,420",215.8
Armenia,"9,520",201.6
Australia,"212,332",462.5
Austria,"50,682",258.5
Azerbaijan,"18,503",152.3
Bahamas,955,192.7
Bahrain,"1,383",113.8
Bangladesh,"167,256",105.6
Barbados,"1,120",205.3
Belarus,"46,402",273.2
Belgium,"81,132",324.7
Belize,409,114.7
Benin,"7,496",102.6
Bhutan,638,87.6
Bolivia,"17,579",143.8
Bosnia and Herzegovina,"14,265",218.6
Botswana,"2,317",115.4
Brazil,"627,193",214.4
Brunei,925,192.2
Bulgaria,"32,812",222
Burkina Faso,"14,538",125.2
Burundi,"7,997",128.2
C“te d?Ivoire,"21,352",137
Cambodia,"19,795",138.3
Cameroon,"19,564",126
Canada,"292,098",345.9
Cape Verde,435,87
Central African Republic,"2,690",101.8
Chad,"10,185",118.1
Chile,"59,876",188.7
China,"4,824,703",201.6
Colombia,"117,620",177.6
Comoros,619,106.8
Congo,"2,727",80.7
Costa Rica,"13,325",177.7
Croatia,"28,809",313.4
Cuba,"49,688",220.8
Cyprus,"6,198",292.3
Czech Republic,"65,676",280.9
Denmark,"48,840",374.7
Djibouti,805,90.7
Dominican Republic,"20,171",167
DR Congo,"52,612",103
East Timor,828,84.5
Ecuador,"30,888",152.7
Egypt,"150,578",166.1
El Salvador,"9,799",127.1
Equatorial Guinea,926,107.7
Eritrea,"2,463",99.8
Estonia,"8,050",282.5
Eswatini,"1,108",135.3
Ethiopia,"80,334",104.5
Fiji,"1,601",174.8
Finland,"37,660",276.9
France,"483,568",339
French Guiana,589,204.3
French Polynesia,877,228.1
Gabon,"1,875",114.4
Gambia,"1,196",79.2
Georgia,"13,689",197.5
Germany,"605,805",274.2
Ghana,"27,385",120.4
Greece,"65,703",258.7
Guadeloupe,"2,123",253.9
Guam,412,167.2
Guatemala,"17,801",121.8
Guinea,"8,777",116.3
Guinea-Bissau,"1,170",100.3
Guyana,"1,225",142.5
Haiti,"13,860",141.1
Honduras,"10,815",128
Hungary,"66,340",336.7
Iceland,"1,777",268.3
India,"1,413,316",98.5
Indonesia,"408,661",136.9
Iran,"137,198",149
Iraq,"37,382",136.6
Ireland,"31,242",344.7
Israel,"30,438",245.8
Italy,"436,242",284.5
Jamaica,"7,500",199.6
Japan,"1,005,157",267.1
Jordan,"12,328",152.6
Kazakhstan,"36,225",162.3
Kenya,"44,726",149.1
Kuwait,"4,347",111.4
Kyrgyzstan,"7,266",125.8
Laos,"9,101",154.5
Latvia,"11,458",288.9
Lebanon,"13,034",168.8
Lesotho,"2,027",115.5
Liberia,"3,873",115.2
Libya,"8,171",132.3
Lithuania,"16,413",287.9
Luxembourg,"3,440",273.3
Madagascar,"21,297",117.4
Malawi,"19,846",159.5
Malaysia,"51,650",142.1
Maldives,479,105.3
Mali,"15,151",139.9
Malta,"2,855",282.5
Martinique,"2,057",224.2
Mauritania,"3,274",105.3
Mauritius,"2,888",140
Mexico,"207,154",140.9
Moldova,"14,816",232.2
Mongolia,"6,699",235.8
Montenegro,"2,739",238
Morocco,"63,609",149.8
Mozambique,"26,578",128.8
Myanmar,"77,603",135.5
Namibia,"3,453",193.5
Nepal,"22,008",81.6
Netherlands,"132,319",341.4
New Caledonia,"1,149",287.6
New Zealand,"38,157",427.3
Nicaragua,"8,409",133.5
Niger,"11,593",83.7
Nigeria,"127,763",113.6
North Korea,"61,533",166.1
North Macedonia,"7,563",206.9
Norway,"40,305",357.9
Oman,"4,045",105.3
Pakistan,"185,748",105.6
Palestine,"5,030",152.3
Panama,"8,353",154.9
Papua New Guinea,"12,190",188.7
Paraguay,"13,783",192.2
Peru,"72,827",173.8
Philippines,"188,976",185.4
Poland,"208,900",262.8
Portugal,"69,567",294.6
Puerto Rico,"13,778",226.6
Qatar,"1,733",82.4
R‚union,"3,015",203.1
Romania,"104,661",276.5
Russia,"635,560",248.1
Rwanda,"7,122",83.2
Saint Lucia,448,166.8
Samoa,400,240
Sao Tome and Principe,144,104.9
Saudi Arabia,"28,113",87.1
Senegal,"11,841",113.9
Serbia,"42,039",250.4
Sierra Leone,"1,918",35.9
Singapore,"25,250",231.1
Slovakia,"30,913",283.3
Slovenia,"14,402",305.1
Solomon Islands,684,134.8
Somalia,"10,681",121
South Africa,"111,321",203.4
South Korea,"237,701",234.7
South Sudan,"6,874",99.4
Spain,"278,729",274.6
Sri Lanka,"33,243",106.9
Sudan,"28,586",95.6
Suriname,"1,119",169.5
Sweden,"69,261",310
Switzerland,"58,330",292.7
Syria,"21,926",138.6
Tajikistan,"6,467",91.7
Tanzania,"44,931",140.1
Thailand,"183,541",154.4
Togo,"5,491",107.5
Trinidad and Tobago,"3,931",186.7
Tunisia,"20,551",135.4
Turkey,"240,013",225.9
Turkmenistan,"6,807",122.7
Uganda,"35,968",154.4
Ukraine,"155,239",199.9
United Arab Emirates,"5,526",105.1
United Kingdom,"454,954",307.8
United States,"2,380,189",367
Uruguay,"16,817",279.9
Uzbekistan,"35,900",112.7
Vanuatu,250,108.2
Venezuela,"62,947",184.8
Vietnam,"180,480",150.8
World,"19,976,499",196.9
Yemen,"16,525",83.1
Zambia,"15,296",159.5
Zimbabwe,"17,725",208
