Country,Including NMSC Number, Including NMSC Rate,Excluding NMSC Number,Excluding NMSC Rate
World,"9,743,832",91.7,"9,674,416",91.1
Afghanistan,"16,923",78.7,"16,712",77.5
Albania,"4,955",90.5,"4,900",89.8
Algeria,"35,778",77.7,"35,347",76.8
Angola,"15,541",90,"15,446",89.5
Argentina,"70,251",102.7,"69,824",102.2
Armenia,"5,861",116.7,"5,824",116.1
Australia,"51,884",84.6,"51,126",83.6
Austria,"22,381",91.3,"22,206",90.9
Azerbaijan,"11,314",93.2,"11,226",92.5
Bahamas,552,109.2,552,109.2
Bahrain,607,58.6,607,58.6
Bangladesh,"116,598",74.7,"116,062",74.3
Barbados,738,113.3,737,113.2
Belarus,"22,644",123.5,"22,529",123
Belgium,"29,005",92.4,"28,875",92.1
Belize,211,59.9,211,59.9
Benin,"5,069",71.6,"5,018",70.9
Bhutan,480,67.2,478,66.8
Bolivia,"11,015",85.1,"10,908",84.4
Bosnia and Herzegovina,"8,590",116.1,"8,512",115.2
Botswana,"1,277",66.1,"1,258",65
Brazil,"278,835",91.3,"275,762",90.4
Brunei Darussalam,464,104.6,464,104.6
Bulgaria,"18,794",114.2,"18,623",113.4
Burkina Faso,"10,998",98.5,"10,903",97.4
Burundi,"5,760",98.7,"5,707",97.6
Côte d'Ivoire,"14,143",93.6,"14,043",92.9
Cambodia,"13,799",99.3,"13,682",98.4
Cameroon,"12,798",87.3,"12,686",86.5
Canada,"100,465",96.4,"99,555",95.7
Cabo Verde,285,58.3,285,58.3
Central African Republic,"2,023",79.9,"2,003",79
Chad,"7,257",86.2,"7,248",86.1
Chile,"31,440",90.1,"31,154",89.5
China,"2,574,176",96.5,"2,560,612",96
Colombia,"56,719",81.4,"56,048",80.6
Comoros,418,75.3,416,74.9
Congo,"1,732",52.9,"1,729",52.8
Costa Rica,"6,072",75.3,"5,994",74.5
Croatia,"13,854",125.7,"13,737",125.1
Cuba,"27,724",110.2,"27,304",108.9
Cyprus,"2,837",111.5,"2,806",110.6
Czech Republic,"28,071",103.8,"27,882",103.2
Denmark,"17,204",106.5,"17,111",106.1
Djibouti,572,66.7,564,65.7
Dominican Republic,"11,744",92,"11,653",91.4
Democratic Republic of the Congo,"37,575",76.2,"37,318",75.6
Timor-Leste,517,55.4,517,55.4
Ecuador,"16,158",76,"15,903",74.9
Egypt,"95,275",107.7,"94,069",106.3
El Salvador,"5,292",64.7,"5,239",64.2
Equatorial Guinea,589,72.1,583,71.2
Eritrea,"1,724",72.5,"1,697",71.3
Estonia,"4,086",114.4,"4,049",113.8
Eswatini,697,88.8,686,87.1
Ethiopia,"54,698",74.5,"53,461",72.6
Fiji,865,98.5,863,98
Finland,"13,445",79.8,"13,389",79.6
France,"190,612",106.7,"189,466",106.3
French Guiana,233,82.6,233,82.6
French Polynesia,481,122.3,481,122.3
Gabon,"1,094",69.5,"1,088",69
Gambia,899,62.7,899,62.7
Georgia,"8,459",111.7,"8,238",109.6
