Country,IncludingNMSCNumber, IncludingNMSCRate,ExcludingNMSCNumber,ExcludingNMSCRate,NumericCode,Latitude,Longitude
Poland,"119,992",133.1,"118,982",132.4,616,52.215933,19.134422
Belarus,"22,644",123.5,"22,529",123,112,53.4250605,27.6971358
Latvia,"5,872",122.9,"5,808",122.1,428,56.8406494,24.7537645
French Polynesia,481,122.3,481,122.3,258,-17.0243749,-144.6434898
Montenegro,"1,535",121.4,"1,521",120.6,499,42.7755624,19.2022423
Papua New Guinea,"7,200",119.8,"6,933",114.3,598,-5.6816069,144.2489081
Malawi,"13,979",117.9,"13,802",116,454,-13.2687204,33.9301963
Armenia,"5,861",116.7,"5,824",116.1,51,40.7696272,44.6736646
Jamaica,"4,632",116.6,"4,623",116.4,388,18.1850507,-77.3947693
Bosnia and Herzegovina,"8,590",116.1,"8,512",115.2,70,44.3053476,17.5961467
Estonia,"4,086",114.4,"4,049",113.8,233,58.7523778,25.3319078
Bulgaria,"18,794",114.2,"18,623",113.4,100,42.6073975,25.4856617
Uganda,"24,629",113.9,"24,440",112.9,800,1.5333554,32.2166578
Barbados,738,113.3,737,113.2,52,13.1500331,-59.5250305
New Caledonia,467,113.2,466,113,540,-20.6378428,161.2117626
Philippines,"113,369",112.9,"112,831",112.4,608,12.7503486,122.7312101
North Macedonia,"4,364",112.5,"4,312",111.4,807,41.6171214,21.7168387
Laos,"6,215",109.9,"6,176",109.1,418,20.0171109,103.378253
Bahamas,552,109.2,552,109.2,44,24.7736546,-78.0000547
France,"190,612",106.7,"189,466",106.3,250,46.603354,1.8883335
Argentina,"70,251",102.7,"69,824",102.2,32,-34.9964963,-64.9672817
Mali,"10,678",102.4,"10,541",100.9,466,16.3700359,-2.2900239
Ukraine,"84,153",101.1,"83,582",100.6,804,49.4871968,31.2718321
Germany,"253,170",99.7,"251,875",99.4,276,51.1638175,10.4478313
Vietnam,"120,184",99,"119,694",98.7,704,15.9266657,107.9650855
Ireland,"10,438",98.7,"10,310",97.7,372,52.865196,-7.9794599
Burundi,"5,760",98.7,"5,707",97.6,108,-3.426449,29.9324519
Burkina Faso,"10,998",98.5,"10,903",97.4,854,12.0753083,-1.6880314
Fiji,865,98.5,863,98,242,-18.1239696,179.0122737
Tanzania,"29,743",97.1,"29,467",96.2,834,-6.5247123,35.7878438
Trinidad and Tobago,"2,221",96.8,"2,216",96.7,780,10.7466905,-61.0840075
China,"2,574,176",96.5,"2,560,612",96,156,35.000074,104.999927
Iran,"87,247",96.5,"86,711",95.9,364,32.6475314,54.5643516
Canada,"100,465",96.4,"99,555",95.7,124,61.0666922,-107.991707
Azerbaijan,"11,314",93.2,"11,226",92.5,31,40.3936294,47.7872508
Belgium,"29,005",92.4,"28,875",92.1,56,50.6402809,4.6667145
Lebanon,"7,307",92.3,"7,178",90.8,422,33.8750629,35.843409
Haiti,"9,014",92.2,"8,972",91.8,332,19.1399952,-72.3570972
Norway,"13,393",91.8,"13,323",91.5,578,61.1529386,8.7876653
Suriname,626,91.5,626,91.5,740,4.1413025,-56.0771187
Austria,"22,381",91.3,"22,206",90.9,40,47.59397,14.12456
Syria,"13,848",91,"13,647",89.6,760,34.8147886,38.4231781
Albania,"4,955",90.5,"4,900",89.8,8,41.000028,19.9999619
Chile,"31,440",90.1,"31,154",89.5,152,-31.7613365,-71.3187697
Angola,"15,541",90,"15,446",89.5,24,-11.8775768,17.5691241
Paraguay,"6,581",89.9,"6,497",88.9,600,-23.3165935,-58.1693445
Spain,"115,590",88.8,"114,808",88.4,724,39.3260685,-4.8379791
Eswatini,697,88.8,686,87.1,748,-26.5624806,31.3991317
Iraq,"21,536",84.4,"21,428",83.9,368,33.0955793,44.1749775
Liberia,"2,730",84,"2,699",82.9,430,5.7499721,-9.3658524
Madagascar,"14,270",83.6,"14,034",82.2,450,-18.9249604,46.4416422
Kyrgyzstan,"4,672",82.8,"4,622",81.8,417,41.5089324,74.724091
Ghana,"17,944",82.6,"17,838",82.1,288,8.0300284,-1.0800271
Indonesia,"242,988",82.5,"240,537",81.7,360,-2.4833826,117.8902853
Turkmenistan,"4,456",82.5,"4,420",81.8,795,39.3763807,59.3924609
United States,"605,761",82.3,"600,970",81.8,840,39.7837304,-100.445882
Lesotho,"1,411",82,"1,389",80.6,426,-29.6039267,28.3350193
Finland,"13,445",79.8,"13,389",79.6,246,63.2467777,25.9209164
Guinea-Bissau,849,76.5,838,75.3,624,11.815215,-15.2351044
South Sudan,"5,081",76.3,"5,010",75.1,728,7.8699431,29.6667897
Puerto Rico,"5,796",75,"5,746",74.5,630,18.2247706,-66.4858295
Ethiopia,"54,698",74.5,"53,461",72.6,231,10.2116702,38.6521203
Togo,"3,605",74,"3,527",72.3,768,8.7800265,1.0199765
Gabon,"1,094",69.5,"1,088",69,266,-0.8999695,11.6899699
Djibouti,572,66.7,564,65.7,262,11.8145966,42.8453061
Oman,"2,261",66.3,"2,249",65.8,512,21.0000287,57.0036901
Panama,"3,770",65.7,"3,740",65.3,591,8.559559,-81.1308434
India,"916,827",64.4,"911,793",64,356,22.3511148,78.6677428
Sudan,"18,504",64.4,"18,216",63.3,729,14.5844444,29.4917691
Yemen,"11,854",63.7,"11,726",62.9,887,16.3471243,47.8915271
Kuwait,"1,968",60.2,"1,967",60.1,414,29.2733964,47.4979476
Bahrain,607,58.6,607,58.6,48,26.1551249,50.5344606
Nepal,"14,704",55.3,"14,600",54.9,524,28.3780464,83.9999901
United Arab Emirates,"2,283",54.4,"2,264",53.9,784,24.0002488,53.9994829
Saudi Arabia,"13,399",46.2,"13,312",45.8,682,25.6242618,42.3528328
