Cancer Type,New incidence cases,Mortality cases
Lung,2480301,1817172
Female breast,2308897,665684
Colorectum,1926118,903859
Prostate,1466680,396792
Stomach,968350,659853
Liver,865269,757948
Thyroid,821173,47485
Cervix uteri,661021,348189
Bladder,613791,220349
Non-Hodgkin lymphoma,553010,250475
Esophagus,510716,445129
Pancreas,510566,467005
Leukemia,486777,305033
Kidney,434419,155702
Corpus uteri,420242,97704
Lip,16,15
Melanoma of skin,331647,58645
Ovary,324398,206839
Brain,19,12
Larynx,188960,103216
Multiple myeloma,187774,121252
Gallbladder,122462,89031
Nasopharynx,120416,73476
Oropharynx,106316,52268
Hypopharynx,86276,40917
Hodgkin lymphoma,82409,22701
Testis,72031,9056
Salivary glands,55003,23894
Vulva,47342,18579
Penis,37699,13729
Kaposi sarcoma,35359,15911
Mesothelioma,30618,25372
Vagina,18800,8238
