Cancer Type,Type of Cases,Number of Cases
Lung,Incidence,2480301
Female breast,Incidence,2308897
Colorectum,Incidence,1926118
Prostate,Incidence,1466680
Stomach,Incidence,968350
Liver,Incidence,865269
Thyroid,Incidence,821173
Cervix uteri,Incidence,661021
Bladder,Incidence,613791
Esophagus,Incidence,510716
Pancreas,Incidence,510566
Leukemia,Incidence,486777
Kidney,Incidence,434419
Corpus uteri,Incidence,420242
Lip,Incidence,16
Melanoma of skin,Incidence,331647
Ovary,Incidence,324398
Brain,Incidence,19
Larynx,Incidence,188960
Multiple myeloma,Incidence,187774
Gallbladder,Incidence,122462
Nasopharynx,Incidence,120416
Oropharynx,Incidence,106316
Hypopharynx,Incidence,86276
Hodgkin lymphoma,Incidence,82409
Testis,Incidence,72031
Salivary glands,Incidence,55003
Vulva,Incidence,47342
Penis,Incidence,37699
Kaposi sarcoma,Incidence,35359
Mesothelioma,Incidence,30618
Vagina,Incidence,18800
Lung,Mortality,1817172
Female breast,Mortality,665684
Colorectum,Mortality,903859
Prostate,Mortality,396792
Stomach,Mortality,659853
Liver,Mortality,757948
Thyroid,Mortality,47485
Cervix uteri,Mortality,348189
Bladder,Mortality,220349
Esophagus,Mortality,445129
Pancreas,Mortality,467005
Leukemia,Mortality,305033
Kidney,Mortality,155702
Corpus uteri,Mortality,97704
Lip,Mortality,15
Melanoma of skin,Mortality,58645
Ovary,Mortality,206839
Brain,Mortality,12
Larynx,Mortality,103216
Multiple myeloma,Mortality,121252
Gallbladder,Mortality,89031
Nasopharynx,Mortality,73476
Oropharynx,Mortality,52268
Hypopharynx,Mortality,40917
Hodgkin lymphoma,Mortality,22701
Testis,Mortality,9056
Salivary glands,Mortality,23894
Vulva,Mortality,18579
Penis,Mortality,13729
Kaposi sarcoma,Mortality,15911
Mesothelioma,Mortality,25372
Vagina,Mortality,8238
