Country,Continent,Male,Female,Total Cancer Patients
Afghanistan,Asia,"11,239","13,036","24,275"
Albania,Europe,"4,587","3,432","8,019"
Algeria,Africa,"29,387","35,326","64,713"
Angola,Africa,"10,684","13,923","24,607"
Argentina,South America,"65,040","68,380","133,420"
Armenia,Asia,"5,046","4,474","9,520"
Australia,Oceania,"116,363","95,969","212,332"
Austria,Europe,"27,321","23,361","50,682"
Azerbaijan,Asia,"9,901","8,602","18,503"
Bahamas,North America,477,478,955
Bahrain,Asia,654,729,"1,383"
Bangladesh,Asia,"94,922","72,334","167,256"
Barbados,North America,578,542,"1,120"
Belarus,Europe,"24,933","21,469","46,402"
Belgium,Europe,"43,645","37,487","81,132"
Belize,North America,188,221,409
Benin,Africa,"3,468","4,028","7,496"
Bhutan,Asia,356,282,638
Bolivia,South America,"7,692","9,887","17,579"
Bosnia and Herzegovina,Europe,"7,841","6,424","14,265"
Botswana,Africa,941,"1,376","2,317"
Brazil,South America,"319,711","307,482","627,193"
Brunei Darussalam,Asia,396,529,925
Bulgaria,Europe,"17,515","15,297","32,812"
Burkina Faso,Africa,"5,556","8,982","14,538"
Burundi,Africa,"3,370","4,627","7,997"
CÃƒÆ’Ã‚Â´te d'Ivoire,Africa,"9,795","11,557","21,352"
Cambodia,Asia,"9,171","10,624","19,795"
Cameroon,Africa,"7,986","11,578","19,564"
Canada,North America,"153,660","138,438","292,098"
Cabo Verde,Africa,214,221,435
Central African Republic,Africa,"1,075","1,615","2,690"
Chad,Africa,"5,605","4,580","10,185"
Chile,South America,"32,800","27,076","59,876"
China,Asia,"2,533,906","2,290,797","4,824,703"
Colombia,South America,"56,224","61,396","117,620"
Comoros,Africa,237,382,619
Costa Rica,North America,"6,808","6,517","13,325"
Croatia,Europe,"15,607","13,202","28,809"
Cuba,North America,"26,892","22,796","49,688"
Cyprus,Asia,"3,070","3,128","6,198"
Czech Republic,Europe,"35,033","30,643","65,676"
Denmark,Europe,"25,826","23,014","48,840"
Djibouti,Africa,311,494,805
Dominican Republic,North America,"10,735","9,436","20,171"
Ecuador,South America,"13,890","16,998","30,888"
Egypt,Africa,"73,611","76,967","150,578"
El Salvador,North America,"4,205","5,594","9,799"
Equatorial Guinea,Africa,410,516,926
Eritrea,Africa,910,"1,553","2,463"
Estonia,Europe,"4,214","3,836","8,050"
Eswatini,Africa,344,764,"1,108"
Ethiopia,Africa,"27,713","52,621","80,334"
Fiji,Oceania,654,947,"1,601"
Finland,Europe,"19,737","17,923","37,660"
French Guiana,South America,341,248,589
French Polynesia,Oceania,477,400,877
Gabon,Africa,742,"1,133","1,875"
Gambia,Africa,520,676,"1,196"
Georgia,Asia,"7,253","6,436","13,689"
Germany,Europe,"323,545","282,260","605,805"
Ghana,Africa,"11,398","15,987","27,385"
Greece,Europe,"36,564","29,139","65,703"
Guadeloupe,North America,"1,312",811,"2,123"
Guam,Oceania,221,191,412
Guatemala,North America,"7,783","10,018","17,801"
Guinea,Africa,"3,155","5,622","8,777"
Guinea-Bissau,Africa,428,742,"1,170"
Guyana,South America,537,688,"1,225"
Haiti,North America,"7,028","6,832","13,860"
Honduras,North America,"5,051","5,764","10,815"
Hungary,Europe,"34,250","32,090","66,340"
Iceland,Europe,909,868,"1,777"
India,Asia,"691,178","722,138","1,413,316"
Indonesia,Asia,"188,395","220,266","408,661"
Iran,Asia,"76,441","60,757","137,198"
Iraq,Asia,"15,824","21,558","37,382"
Ireland,Europe,"17,252","13,990","31,242"
Israel,Asia,"14,746","15,692","30,438"
Italy,Europe,"232,150","204,092","436,242"
Jamaica,North America,"3,713","3,787","7,500"
Japan,Asia,"580,535","424,622","1,005,157"
Jordan,Asia,"5,694","6,634","12,328"
Kazakhstan,Asia,"16,947","19,278","36,225"
Kenya,Africa,"16,349","28,377","44,726"
Kuwait,Asia,"2,120","2,227","4,347"
Kyrgyzstan,Asia,"3,371","3,895","7,266"
Laos,Asia,"4,579","4,522","9,101"
Latvia,Europe,"5,908","5,550","11,458"
Lebanon,Asia,"6,593","6,441","13,034"
Lesotho,Africa,725,"1,302","2,027"
Liberia,Africa,"1,548","2,325","3,873"
Libya,Africa,"4,070","4,101","8,171"
Lithuania,Europe,"9,245","7,168","16,413"
Luxembourg,Europe,"1,742","1,698","3,440"
Madagascar,Africa,"8,500","12,797","21,297"
Malawi,Africa,"7,415","12,431","19,846"
Malaysia,Asia,"24,892","26,758","51,650"
Maldives,Asia,248,231,479
Mali,Africa,"5,554","9,597","15,151"
Malta,Europe,"1,529","1,326","2,855"
