Country,Continent,Male,Female,Total Cancer Patients
Afghanistan,Asia,"8,362","8,561","16,923"
Albania,Europe,"3,049","1,906","4,955"
Algeria,Africa,"18,809","16,969","35,778"
Angola,Africa,"6,998","8,543","15,541"
Argentina,South America,"36,588","33,663","70,251"
Armenia,Asia,"3,244","2,617","5,861"
Australia,Oceania,"29,368","22,516","51,884"
Austria,Europe,"12,167","10,214","22,381"
Azerbaijan,Asia,"6,601","4,713","11,314"
Bahamas,North America,266,286,552
Bahrain,Asia,312,295,607
Bangladesh,Asia,"68,591","48,007","116,598"
Barbados,North America,381,357,738
Belarus,Europe,"13,564","9,080","22,644"
Belgium,Europe,"16,045","12,960","29,005"
Belize,North America,106,105,211
Benin,Africa,"2,470","2,599","5,069"
Bhutan,Asia,280,200,480
Bolivia,South America,"4,958","6,057","11,015"
Bosnia and Herzegovina,Europe,"5,051","3,539","8,590"
Botswana,Africa,552,725,"1,277"
Brazil,South America,"146,702","132,133","278,835"
Brunei Darussalam,Asia,229,235,464
Bulgaria,Europe,"10,763","8,031","18,794"
Burkina Faso,Africa,"4,344","6,654","10,998"
Burundi,Africa,"2,431","3,329","5,760"
CÃƒÆ’Ã‚Â´te d'Ivoire,Africa,"6,684","7,459","14,143"
Cambodia,Asia,"7,150","6,649","13,799"
Cameroon,Africa,"5,312","7,486","12,798"
Canada,North America,"52,714","47,751","100,465"
Cabo Verde,Africa,149,136,285
Central African Republic,Africa,821,"1,202","2,023"
Chad,Africa,"3,937","3,320","7,257"
Chile,South America,"16,897","14,543","31,440"
China,Asia,"1,629,288","944,888","2,574,176"
Colombia,South America,"27,816","28,903","56,719"
Comoros,Africa,167,251,418
Costa Rica,North America,"3,246","2,826","6,072"
Croatia,Europe,"8,129","5,725","13,854"
Cuba,North America,"15,854","11,870","27,724"
Cyprus,Asia,"1,574","1,263","2,837"
Czech Republic,Europe,"15,488","12,583","28,071"
Denmark,Europe,"9,124","8,080","17,204"
Djibouti,Africa,237,335,572
Dominican Republic,North America,"6,176","5,568","11,744"
Ecuador,South America,"7,658","8,500","16,158"
Egypt,Africa,"51,692","43,583","95,275"
El Salvador,North America,"2,290","3,002","5,292"
Equatorial Guinea,Africa,279,310,589
Eritrea,Africa,652,"1,072","1,724"
Estonia,Europe,"2,201","1,885","4,086"
Eswatini,Africa,231,466,697
Ethiopia,Africa,"19,731","34,967","54,698"
Fiji,Oceania,324,541,865
Finland,Europe,"7,272","6,173","13,445"
French Guiana,South America,138,95,233
French Polynesia,Oceania,296,185,481
Gabon,Africa,480,614,"1,094"
Gambia,Africa,440,459,899
Georgia,Asia,"4,636","3,823","8,459"
Germany,Europe,"137,826","115,344","253,170"
Ghana,Africa,"8,088","9,856","17,944"
Greece,Europe,"19,120","13,265","32,385"
Guadeloupe,North America,533,419,952
Guam,Oceania,153,114,267
Guatemala,North America,"4,544","5,825","10,369"
Guinea,Africa,"2,432","3,931","6,363"
Guinea-Bissau,Africa,323,526,849
Guyana,South America,271,341,612
Haiti,North America,"4,595","4,419","9,014"
Honduras,North America,"3,364","3,647","7,011"
Hungary,Europe,"17,355","15,127","32,482"
Iceland,Europe,349,320,669
India,Asia,"470,055","446,772","916,827"
Indonesia,Asia,"128,740","114,248","242,988"
Iran,Asia,"50,713","36,534","87,247"
Iraq,Asia,"10,403","11,133","21,536"
Ireland,Europe,"5,463","4,975","10,438"
Israel,Asia,"6,500","6,355","12,855"
Italy,Europe,"103,859","89,847","193,706"
Jamaica,North America,"2,423","2,209","4,632"
Japan,Asia,"240,823","185,455","426,278"
Jordan,Asia,"3,453","3,005","6,458"
Kazakhstan,Asia,"11,365","9,321","20,686"
Kenya,Africa,"11,314","18,003","29,317"
Kuwait,Asia,"1,098",870,"1,968"
Kyrgyzstan,Asia,"2,454","2,218","4,672"
Laos,Asia,"3,544","2,671","6,215"
Latvia,Europe,"3,160","2,712","5,872"
Lebanon,Asia,"3,950","3,357","7,307"
Lesotho,Africa,507,904,"1,411"
Liberia,Africa,"1,137","1,593","2,730"
Libya,Africa,"2,920","2,396","5,316"
Lithuania,Europe,"4,639","3,710","8,349"
Luxembourg,Europe,576,517,"1,093"
Madagascar,Africa,"6,048","8,222","14,270"
Malawi,Africa,"5,231","8,748","13,979"
Malaysia,Asia,"16,980","14,653","31,633"
Maldives,Asia,150,91,241
Mali,Africa,"4,209","6,469","10,678"
Malta,Europe,570,466,"1,036"
Martinique,North America,459,427,886
Mauritania,Africa,908,"1,326","2,234"
Mauritius,Africa,715,754,"1,469"
Mexico,North America,"46,415","49,795","96,210"
Moldova,Europe,"4,847","3,301","8,148"
Mongolia,Asia,"2,719","2,210","4,929"
Montenegro,Europe,847,688,"1,535"
Morocco,Africa,"21,155","15,792","36,947"
Mozambique,Africa,"7,391","11,629","19,020"
Myanmar,Asia,"27,518","27,323","54,841"
Namibia,Africa,897,"1,043","1,940"
Netherlands,Europe,"27,172","22,618","49,790"
New Caledonia,Oceania,273,194,467
New Zealand,Oceania,"6,065","5,236","11,301"
Nicaragua,North America,"2,306","2,516","4,822"
Niger,Africa,"4,048","4,758","8,806"
Nigeria,Africa,"32,905","46,637","79,542"
North Korea,Asia,"22,385","20,404","42,789"
North Macedonia,Europe,"2,607","1,757","4,364"
Norway,Europe,"6,855","6,538","13,393"
Oman,Asia,"1,510",751,"2,261"
Pakistan,Asia,"58,934","59,697","118,631"
Panama,North America,"1,963","1,807","3,770"
Papua New Guinea,Oceania,"3,274","3,926","7,200"
Paraguay,South America,"3,532","3,049","6,581"
Peru,South America,"16,790","19,144","35,934"
Philippines,Asia,"56,863","56,506","113,369"
Poland,Europe,"65,742","54,250","119,992"
Portugal,Europe,"19,510","14,252","33,762"
Puerto Rico,North America,"3,212","2,584","5,796"
Qatar,Asia,527,255,782
Romania,Europe,"32,830","23,386","56,216"
Russian Federation,Europe,"164,172","147,557","311,729"
Rwanda,Africa,"2,324","2,563","4,887"
Saint Lucia,North America,132,91,223
Samoa,Oceania,111,97,208
Sao Tome and Principe,Africa,48,42,90
Saudi Arabia,Asia,"8,050","5,349","13,399"
Senegal,Africa,"3,111","5,023","8,134"
Serbia,Europe,"13,570","10,311","23,881"
Sierra Leone,Africa,633,701,"1,334"
Singapore,Asia,"7,659","5,618","13,277"
Slovakia,Europe,"8,393","6,773","15,166"
Slovenia,Europe,"3,876","3,022","6,898"
Solomon Islands,Oceania,166,199,365
Somalia,Africa,"3,104","4,934","8,038"
South Africa,Africa,"30,653","33,894","64,547"
South Korea,Asia,"61,059","36,556","97,615"
South Sudan,Africa,"2,143","2,938","5,081"
Spain,Europe,"69,442","46,148","115,590"
Sri Lanka,Asia,"9,820","9,325","19,145"
Sudan,Africa,"8,001","10,503","18,504"
Suriname,South America,340,286,626
Sweden,Europe,"13,208","12,361","25,569"
Syria,Asia,"7,217","6,631","13,848"
Tajikistan,Asia,"2,149","2,076","4,225"
Tanzania,Africa,"12,796","16,947","29,743"
Thailand,Asia,"65,100","53,729","118,829"
Togo,Africa,"1,623","1,982","3,605"
Trinidad and Tobago,North America,"1,169","1,052","2,221"
Tunisia,Africa,"7,761","4,819","12,580"
TÃƒÆ’Ã‚Â¼rkiye,Asia,"82,446","47,226","129,672"
Turkmenistan,Asia,"2,183","2,273","4,456"
Uganda,Africa,"10,708","13,921","24,629"
Ukraine,Europe,"47,415","36,738","84,153"
United Arab Emirates,Asia,"1,283","1,000","2,283"
United Kingdom,Europe,"97,129","84,678","181,807"
United States,North America,"320,641","285,120","605,761"
Uruguay,South America,"4,920","4,060","8,980"
Uzbekistan,Asia,"10,743","11,328","22,071"
Vanuatu,Oceania,77,74,151
Venezuela,South America,"16,346","15,391","31,737"
Vietnam,Asia,"71,385","48,799","120,184"
Yemen,Asia,"5,515","6,339","11,854"
Switzerland,Europe,"10,592","8,828","19,420"
Nepal,Asia,"6,936","7,768","14,704"
Zambia,Africa,"4,121","5,649","9,770"
Zimbabwe,Africa,"4,376","7,363","11,739"
