Country,IncludingNMSCNumberMortality,IncludingNMSCRateMortality,NumericCode,Latitude,Longitude,PrevalenceCases,IncludingNMSCNumberIncidence, IncludingNMSCRateIncidence
Afghanistan,"16,923",78.7,4,33.7680065,66.2385139,53.95,"24,275",106.2
Albania,"4,955",90.5,8,41.000028,19.9999619,114.14,"8,019",160.8
Algeria,"35,778",77.7,12,28.0000272,2.9999825,98.62,"64,713",141.2
Angola,"15,541",90.0,24,-11.8775768,17.5691241,74.43,"24,607",133.5
Argentina,"70,251",102.7,32,-34.9964963,-64.9672817,166.23,"133,420",215.8
Armenia,"5,861",116.7,51,40.7696272,44.6736646,135.96,"9,520",201.6
Australia,"51,884",84.6,36,-24.7761086,134.755,418.67,"212,332",462.5
Austria,"22,381",91.3,40,47.59397,14.12456,217.2,"50,682",258.5
Azerbaijan,"11,314",93.2,31,40.3936294,47.7872508,102.07,"18,503",152.3
Bahamas,552,109.2,44,24.7736546,-78.0000547,155.16,955,192.7
Bahrain,607,58.6,48,26.1551249,50.5344606,90.36,"1,383",113.8
Bangladesh,"116,598",74.7,50,24.4769288,90.2934413,61.6,"167,256",105.6
Barbados,738,113.3,52,13.1500331,-59.5250305,164.8,"1,120",205.3
Belarus,"22,644",123.5,112,53.4250605,27.6971358,207.74,"46,402",273.2
Belgium,"29,005",92.4,56,50.6402809,4.6667145,280.35,"81,132",324.7
Belize,211,59.9,84,17.1204943,-88.6859028,83.03,409,114.7
Benin,"5,069",71.6,204,9.5293472,2.2584408,54.14,"7,496",102.6
Bhutan,480,67.2,64,27.549511,90.5119273,60.02,638,87.6
Bolivia,"11,015",85.1,68,-17.0568696,-64.9912286,94.89,"17,579",143.8
Bosnia and Herzegovina,"8,590",116.1,70,44.3053476,17.5961467,153.81,"14,265",218.6
Botswana,"1,277",66.1,72,-23.1681782,24.5928742,84.08,"2,317",115.4
Brazil,"278,835",91.3,76,-10.3333333,-53.2,150.62,"627,193",214.4
Brunei Darussalam,464,104.6,96,4.4137155,114.5653908,153.5,925,192.2
