Country,IncludingNMSCNumberMortality,IncludingNMSCRateMortality,NumericCode,Latitude,Longitude,PrevalenceCases,IncludingNMSCNumberIncidence,IncludingNMSCRateIncidence,Continent
Afghanistan,"16,923",78.7,4,33.7680065,66.2385139,53.95,"24,275",106.2,Asia
Albania,"4,955",90.5,8,41.000028,19.9999619,114.14,"8,019",160.8,Europe
Algeria,"35,778",77.7,12,28.0000272,2.9999825,98.62,"64,713",141.2,Africa
Angola,"15,541",90.0,24,-11.8775768,17.5691241,74.43,"24,607",133.5,Africa
Argentina,"70,251",102.7,32,-34.9964963,-64.9672817,166.23,"133,420",215.8,South America
Armenia,"5,861",116.7,51,40.7696272,44.6736646,135.96,"9,520",201.6,Asia
Australia,"51,884",84.6,36,-24.7761086,134.755,418.67,"212,332",462.5,Oceania
Austria,"22,381",91.3,40,47.59397,14.12456,217.2,"50,682",258.5,Europe
Azerbaijan,"11,314",93.2,31,40.3936294,47.7872508,102.07,"18,503",152.3,Asia
Bahamas,552,109.2,44,24.7736546,-78.0000547,155.16,955,192.7,North America
Bahrain,607,58.6,48,26.1551249,50.5344606,90.36,"1,383",113.8,Asia
Bangladesh,"116,598",74.7,50,24.4769288,90.2934413,61.6,"167,256",105.6,Asia
Barbados,738,113.3,52,13.1500331,-59.5250305,164.8,"1,120",205.3,North America
Belarus,"22,644",123.5,112,53.4250605,27.6971358,207.74,"46,402",273.2,Europe
Belgium,"29,005",92.4,56,50.6402809,4.6667145,280.35,"81,132",324.7,Europe
Belize,211,59.9,84,17.1204943,-88.6859028,83.03,409,114.7,North America
Benin,"5,069",71.6,204,9.5293472,2.2584408,54.14,"7,496",102.6,Africa
Bhutan,480,67.2,64,27.549511,90.5119273,60.02,638,87.6,Asia
Bolivia,"11,015",85.1,68,-17.0568696,-64.9912286,94.89,"17,579",143.8,South America
Bosnia and Herzegovina,"8,590",116.1,70,44.3053476,17.5961467,153.81,"14,265",218.6,Europe
Botswana,"1,277",66.1,72,-23.1681782,24.5928742,84.08,"2,317",115.4,Africa
Brazil,"278,835",91.3,76,-10.3333333,-53.2,150.62,"627,193",214.4,South America
Brunei Darussalam,464,104.6,96,4.4137155,114.5653908,153.5,925,192.2,Asia
Bulgaria,"18,794",114.2,100,42.6073975,25.4856617,165.17,"32,812",222.0,Europe
Burkina Faso,"10,998",98.5,854,12.0753083,-1.6880314,59.96,"14,538",125.2,Africa
Burundi,"5,760",98.7,108,-3.426449,29.9324519,56.28,"7,997",128.2,Africa
CÃƒÂ´te d'Ivoire,"14,143",93.6,384,7.9897371,-5.5679458,70.53,"21,352",137.0,Africa
Cambodia,"13,799",99.3,116,12.5433216,104.8144914,77.3,"19,795",138.3,Asia
Cameroon,"12,798",87.3,120,4.6125522,13.1535811,69.12,"19,564",126.0,Africa
Canada,"100,465",96.4,124,61.0666922,-107.991707,299.54,"292,098",345.9,North America
Cabo Verde,285,58.3,132,16.0000552,-24.0083947,58.75,435,87.0,Africa
Central African Republic,"2,023",79.9,140,7.0323598,19.9981227,38.92,"2,690",101.8,Africa
Chad,"7,257",86.2,148,15.6134137,19.0156172,50.69,"10,185",118.1,Africa
Chile,"31,440",90.1,152,-31.7613365,-71.3187697,143.87,"59,876",188.7,South America
China,"2,574,176",96.5,156,35.000074,104.999927,133.7,"4,824,703",201.6,Asia
Colombia,"56,719",81.4,170,4.099917,-72.9088133,124.02,"117,620",177.6,South America
Comoros,418,75.3,174,-12.2045176,44.2832964,67.69,619,106.8,Africa
Costa Rica,"6,072",75.3,188,10.2735633,-84.0739102,133.45,"13,325",177.7,North America
Croatia,"13,854",125.7,191,45.3658443,15.6575209,245.08,"28,809",313.4,Europe
Cuba,"27,724",110.2,192,23.0131338,-80.8328748,157.39,"49,688",220.8,North America
Cyprus,"2,837",111.5,196,34.9174159,32.8899027,243.09,"6,198",292.3,Asia
Czech Republic,"28,071",103.8,203,49.7439047,15.3381061,233.76,"65,676",280.9,Europe
Denmark,"17,204",106.5,208,55.670249,10.3333283,326.06,"48,840",374.7,Europe
Djibouti,572,66.7,262,11.8145966,42.8453061,53.84,805,90.7,Africa
Dominican Republic,"11,744",92.0,214,19.0974031,-70.3028026,115.63,"20,171",167.0,North America
Ecuador,"16,158",76.0,218,-1.3397668,-79.3666965,105.35,"30,888",152.7,South America
Egypt,"95,275",107.7,818,26.2540493,29.2675469,106.39,"150,578",166.1,Africa
El Salvador,"5,292",64.7,222,13.8000382,-88.9140683,78.14,"9,799",127.1,North America
Equatorial Guinea,589,72.1,226,1.613172,10.5170357,69.07,926,107.7,Africa
Eritrea,"1,724",72.5,232,15.9500319,37.9999668,42.5,"2,463",99.8,Africa
Estonia,"4,086",114.4,233,58.7523778,25.3319078,232.57,"8,050",282.5,Europe
Eswatini,697,88.8,748,-26.5624806,31.3991317,88.43,"1,108",135.3,Africa
Ethiopia,"54,698",74.5,231,10.2116702,38.6521203,51.15,"80,334",104.5,Africa
Fiji,865,98.5,242,-18.1239696,179.0122737,127.16,"1,601",174.8,Oceania
Finland,"13,445",79.8,246,63.2467777,25.9209164,242.68,"37,660",276.9,Europe
French Guiana,233,82.6,254,4.0039882,-52.999998,170.96,589,204.3,South America
French Polynesia,481,122.3,258,-17.0243749,-144.6434898,172.86,877,228.1,Oceania
Gabon,"1,094",69.5,266,-0.8999695,11.6899699,77.89,"1,875",114.4,Africa
Gambia,899,62.7,270,13.470062,-15.4900464,40.24,"1,196",79.2,Africa
Georgia,"8,459",111.7,268,32.3293809,-83.1137366,145.38,"13,689",197.5,Asia
Germany,"253,170",99.7,276,51.1638175,10.4478313,235.16,"605,805",274.2,Europe
Ghana,"17,944",82.6,288,8.0300284,-1.0800271,70.44,"27,385",120.4,Africa
Greece,"32,385",100.6,300,38.9953683,21.9877132,208.19,"65,703",258.7,Europe
Guadeloupe,952,93.0,312,16.2528827,-61.5686855,183.81,"2,123",253.9,North America
Guam,267,101.1,316,13.4499943,144.7651677,132.2,412,167.2,Oceania
Guatemala,"10,369",71.1,320,15.5855545,-90.345759,73.62,"17,801",121.8,North America
Guinea,"6,363",87.5,324,10.7226226,-10.7083587,56.05,"8,777",116.3,Africa
Guinea-Bissau,849,76.5,624,11.815215,-15.2351044,43.3,"1,170",100.3,Africa
Guyana,612,70.2,328,4.8417097,-58.6416891,88.78,"1,225",142.5,South America
Haiti,"9,014",92.2,332,19.1399952,-72.3570972,67.98,"13,860",141.1,North America
Honduras,"7,011",83.3,340,15.2572432,-86.0755145,76.38,"10,815",128.0,North America
Hungary,"32,482",143.7,348,47.1817585,19.5060937,263.93,"66,340",336.7,Europe
Iceland,669,83.2,352,64.9841821,-18.1059013,238.14,"1,777",268.3,Europe
India,"916,827",64.4,356,22.3511148,78.6677428,59.52,"1,413,316",98.5,Asia
Indonesia,"242,988",82.5,360,-2.4833826,117.8902853,86.56,"408,661",136.9,Asia
Iran,"87,247",96.5,364,32.6475314,54.5643516,102.16,"137,198",149.0,Asia
Iraq,"21,536",84.4,368,33.0955793,44.1749775,85.77,"37,382",136.6,Asia
Ireland,"10,438",98.7,372,52.865196,-7.9794599,304.96,"31,242",344.7,Europe
Israel,"12,855",83.2,376,30.8124247,34.8594762,206.44,"30,438",245.8,Asia
Italy,"193,706",94.2,380,42.6384261,12.674297,234.38,"436,242",284.5,Europe
Jamaica,"4,632",116.6,388,18.1850507,-77.3947693,136.94,"7,500",199.6,North America
Japan,"426,278",78.6,392,36.5748441,139.2394179,217.88,"1,005,157",267.1,Asia
Jordan,"6,458",84.3,400,31.1667049,36.941628,104.04,"12,328",152.6,Asia
Kazakhstan,"20,686",92.1,398,48.1012954,66.7780818,118.55,"36,225",162.3,Asia
Kenya,"29,317",104.0,404,1.4419683,38.4313975,85.57,"44,726",149.1,Africa
Kuwait,"1,968",60.2,414,29.2733964,47.4979476,81.37,"4,347",111.4,Asia
Kyrgyzstan,"4,672",82.8,417,41.5089324,74.724091,78.42,"7,266",125.8,Asia
Laos,"6,215",109.9,418,20.0171109,103.378253,89.38,"9,101",154.5,Asia
Latvia,"5,872",122.9,428,56.8406494,24.7537645,229.81,"11,458",288.9,Europe
Lebanon,"7,307",92.3,422,33.8750629,35.843409,114.56,"13,034",168.8,Asia
Lesotho,"1,411",82.0,426,-29.6039267,28.3350193,62.38,"2,027",115.5,Africa
Liberia,"2,730",84.0,430,5.7499721,-9.3658524,54.3,"3,873",115.2,Africa
Libya,"5,316",91.1,434,26.8234472,18.1236723,85.15,"8,171",132.3,Africa
Lithuania,"8,349",125.0,440,55.3500003,23.7499997,235.8,"16,413",287.9,Europe
Luxembourg,"1,093",77.3,442,49.8158683,6.1296751,235.51,"3,440",273.3,Europe
Madagascar,"14,270",83.6,450,-18.9249604,46.4416422,60.71,"21,297",117.4,Africa
Malawi,"13,979",117.9,454,-13.2687204,33.9301963,78.73,"19,846",159.5,Africa
Malaysia,"31,633",86.3,458,4.5693754,102.2656823,107.13,"51,650",142.1,Asia
Maldives,241,58.8,462,3.7203503,73.2244152,79.86,479,105.3,Asia
Mali,"10,678",102.4,466,16.3700359,-2.2900239,62.78,"15,151",139.9,Africa
Malta,"1,036",81.6,470,35.8885993,14.4476911,233.63,"2,855",282.5,Europe
Martinique,886,79.3,474,14.6113732,-60.9620777,186.97,"2,057",224.2,North America
Mauritania,"2,234",74.8,478,20.2540382,-9.2399263,58.07,"3,274",105.3,Africa
Mauritius,"1,469",66.6,480,-20.2759451,57.5703566,106.68,"2,888",140.0,Africa
Mexico,"96,210",63.5,484,23.6585116,-102.0077097,102.1,"207,154",140.9,North America
Moldova,"8,148",122.8,498,47.2879608,28.5670941,162.46,"14,816",232.2,Europe
Mongolia,"4,929",181.5,496,46.8250388,103.8499736,139.73,"6,699",235.8,Asia
Montenegro,"1,535",121.4,499,42.7755624,19.2022423,183.83,"2,739",238.0,Europe
