Country,Measure,Cancer ASR rate
Afghanistan,Incidence,106.2
Albania,Incidence,160.8
Algeria,Incidence,141.2
Angola,Incidence,133.5
Argentina,Incidence,215.8
Armenia,Incidence,201.6
Australia,Incidence,462.5
Austria,Incidence,258.5
Azerbaijan,Incidence,152.3
Bahamas,Incidence,192.7
Bahrain,Incidence,113.8
Bangladesh,Incidence,105.6
Barbados,Incidence,205.3
Belarus,Incidence,273.2
Belgium,Incidence,324.7
Belize,Incidence,114.7
Benin,Incidence,102.6
Bhutan,Incidence,87.6
Bolivia,Incidence,143.8
Bosnia and Herzegovina,Incidence,218.6
Botswana,Incidence,115.4
Brazil,Incidence,214.4
Brunei Darussalam,Incidence,192.2
Bulgaria,Incidence,222
Burkina Faso,Incidence,125.2
Burundi,Incidence,128.2
C̫te d'Ivoire,Incidence,137
Cambodia,Incidence,138.3
Cameroon,Incidence,126
Canada,Incidence,345.9
Cabo Verde,Incidence,87
Central African Republic,Incidence,101.8
Chad,Incidence,118.1
Chile,Incidence,188.7
China,Incidence,201.6
Colombia,Incidence,177.6
Comoros,Incidence,106.8
Costa Rica,Incidence,177.7
Croatia,Incidence,313.4
Cuba,Incidence,220.8
Cyprus,Incidence,292.3
Czech Republic,Incidence,280.9
Denmark,Incidence,374.7
Djibouti,Incidence,90.7
Dominican Republic,Incidence,167
Ecuador,Incidence,152.7
Egypt,Incidence,166.1
El Salvador,Incidence,127.1
Equatorial Guinea,Incidence,107.7
Eritrea,Incidence,99.8
Estonia,Incidence,282.5
Eswatini,Incidence,135.3
Ethiopia,Incidence,104.5
Fiji,Incidence,174.8
Finland,Incidence,276.9
French Guiana,Incidence,204.3
French Polynesia,Incidence,228.1
Gabon,Incidence,114.4
Gambia,Incidence,79.2
Georgia,Incidence,197.5
Germany,Incidence,274.2
Ghana,Incidence,120.4
Greece,Incidence,258.7
Guadeloupe,Incidence,253.9
Guam,Incidence,167.2
Guatemala,Incidence,121.8
Guinea,Incidence,116.3
Guinea-Bissau,Incidence,100.3
Guyana,Incidence,142.5
Haiti,Incidence,141.1
Honduras,Incidence,128
Hungary,Incidence,336.7
Iceland,Incidence,268.3
India,Incidence,98.5
Indonesia,Incidence,136.9
Iran,Incidence,149
Iraq,Incidence,136.6
Ireland,Incidence,344.7
